business_id,industry_sector,business_age_years,region_parish,annual_revenue,revenue_growth_yoy,profit_margin,avg_bank_balance,cash_to_monthly_expense_ratio,overdraft_days_last_12m,loan_amount_outstanding,debt_to_revenue,interest_rate_weighted_avg,term_months_remaining,days_past_due_max_last_12m,num_active_loans,num_employees,total_payroll_last_12m,missed_payroll_count_last_12m,payroll_growth_yoy,credit_score_business,num_returned_payments_last_12m,has_tax_lien,prior_default_or_bankruptcy,avg_monthly_card_spend,card_spend_growth_yoy,utilization_rate_card,days_late_card_payment_max_last_12m,igs_spend_growth_tract,igs_new_businesses_growth_tract,igs_small_business_loans_growth_tract,igs_personal_income_growth_tract,igs_spending_per_capita_growth_tract,igs_labor_market_engagement_index,igs_minority_women_owned_pct,igs_commercial_diversity_pct,igs_tract_population,igs_median_income_tract,revenue_growth_vs_tract_benchmark,spending_growth_vs_tract_benchmark,labor_market_health_score,risk_score,default_flag
100011,Retail,2.1,Orleans,893857,0.0602,-0.0256,28898.02,0.38,0,1566541,1.7526,0.0897,36,15,3,6,474817.8,3,0.0657,499,0,1,0,1228.61,-0.1132,0.5295,30,0.1513,0.1329,-0.3284,0.219,0.0025,37.4,0.1682,0.0101,4222,32341,-0.0727,-0.2645,50.98,100,1
100012,Agriculture,9.5,Orleans,1086848,-0.3838,0.1523,14706.54,0.19,0,1123355,1.0336,0.0633,48,15,3,7,280421.33,2,-0.3943,688,0,0,0,8774.25,-0.3509,0.0232,10,-0.0137,-0.0091,-0.3226,0.1243,0.0405,44.9,0.0544,0.0156,7374,22000,-0.3747,-0.3372,38.92,100,1
100013,Real Estate,5.6,East Baton Rouge,454244,-0.0647,0.2236,7518.88,0.26,0,0,0,0.0418,0,0,0,3,131171.6,,-0.2456,709,0,0,0,3676.2,-0.2219,0.4076,45,0.0706,0.0528,-0.0063,-0.0431,-0.0683,44.8,0.026,0.0069,8588,86277,-0.1175,-0.2925,25.21,44,0
100014,Food Services,4,East Baton Rouge,408614,0.1095,0.1678,11770.88,0.42,0,369645,0.9046,0.0389,36,0,1,3,108194.65,1,0.123,709,0,0,1,2316.18,-0.0307,0.42,10,-0.1372,0.111,-0.1435,0.0279,0.0039,62.5,0.1433,0.0206,4250,61849,-0.0015,0.1065,45.84,85,1
100015,Retail,4.3,Caddo,736087,-0.4667,0.2077,26839.65,0.55,0,904514,1.2288,0.0381,36,30,2,6,370166.79,0,-0.3994,730,0,0,0,0,,,0,0.3565,0.3563,-0.2326,-0.0729,0.0512,53.8,0.153,0.0194,2890,32778,-0.823,-0.3565,42.8,68,0
100016,Retail,9.2,East Baton Rouge,229002,0.0696,0.1516,14950.57,0.92,0,115161,0.5029,0.0587,60,0,1,1,106051.15,0,0.1823,850,0,0,0,0,,,0,0.0294,0.0193,-0.097,0.1474,0.0623,56.6,0.0615,0.0078,3917,59220,0.0503,-0.0294,49.67,5,0
100017,Food Services,10.1,Ouachita,171205,-0.1486,0.2026,5603.45,0.49,6,272440,1.5913,0.038,84,0,1,2,56416.79,2,-0.1702,,1,0,0,515.98,-0.2458,0.4709,0,0.0563,0.0497,-0.2028,-0.0011,0.0478,31.3,0.2544,0.0092,8376,61920,-0.1983,-0.3021,21.16,100,1
100018,Healthcare,3.1,Caddo,2406743,0.3769,0.1117,129522.82,0.73,0,0,0,0.0662,0,0,0,29,967096.34,0,0.3704,737,0,0,0,0,,,0,0.0621,-0.0174,0.2132,-0.141,0.0252,48.2,0.2955,0.0207,5937,32097,0.3943,-0.0621,13.95,8,0
100019,Construction,8.1,Rapides,183093,-0.0326,0.2308,7928.1,0.68,0,42937,0.2345,0.0633,24,0,4,3,66108.96,0,-0.0531,825,0,0,1,0,,,0,-0.0838,-0.0343,-0.3543,0.0541,0.0608,52.1,0.2006,0.0135,2580,61389,0.0017,0.0838,34.96,23,0
100020,Food Services,7.6,Orleans,581246,-0.028,0.1895,64604.03,1.65,0,764593,1.3154,0.0566,12,0,1,3,274835.63,0,0.0255,819,0,0,0,3020.6,0.042,0.4483,0,-0.0019,-0.0981,-0.0741,-0.0465,-0.0251,48.7,0.6478,0.0092,6537,44611,0.0701,0.0439,19.66,33,0
100021,Professional Services,0.5,Rapides,374211,-0.0002,0.0605,14506.07,0.5,0,0,0,0.093,0,0,0,2,,0,0.0444,712,0,0,0,852.69,0.0263,0.6728,0,0.0069,0.1769,0.0543,0.1007,0.0633,56.7,0.325,0.0112,6124,45207,-0.1771,0.0194,52.94,41,0
100022,Retail,10.5,Orleans,173196,0.029,-0.0354,2517.97,0.17,7,311315,1.7975,0.0935,36,0,1,1,61601.86,3,0.0661,592,1,0,1,659.44,-0.1399,0.281,0,0.1555,-0.0025,0.2051,-0.07,-0.0605,23.4,0.1834,0.008,7187,31874,0.0315,-0.2954,6.91,100,1
100023,Food Services,3.2,Orleans,215402,0.2044,0.1373,7854.66,0.51,0,203905,0.9466,0.0601,84,15,2,1,,1,0.3315,768,0,0,0,531.98,0.0126,0.441,45,0.0679,0.0402,-0.1345,-0.0372,-0.0663,69.5,0.1059,0.0088,3566,40906,0.1642,-0.0553,39.99,57,0
100024,Construction,5.6,Calcasieu,627612,-0.0457,-0.005,32314.68,0.61,10,672628,1.0717,0.0863,48,30,1,6,244265.17,0,0.0805,747,0,0,0,0,,,0,-0.0529,-0.0156,-0.2262,-0.0658,-0.0393,48.1,0.1118,0.0141,7726,22000,-0.0301,0.0529,21.5,78,0
100025,Construction,7.3,Orleans,1021889,0.0352,0.225,20696.62,0.31,6,1744521,1.7072,0.0352,24,0,1,7,297485.8,0,-0.0019,850,0,1,0,9381.69,-0.0609,0.3302,0,0.0909,-0.1475,-0.0072,-0.0869,0.1348,59.6,0.2279,0.0143,2487,36580,0.1827,-0.1518,19.69,68,0
100026,Transportation,10.3,St. Tammany,431489,0.2057,0.2679,38048.48,1.45,0,351666,0.815,0.0441,84,0,3,2,200245.3,0,0.2173,837,0,0,0,1681.86,0.2221,0.5016,0,0.1429,-0.2329,-0.124,-0.0103,0.0215,29.2,0.0482,0.0105,7922,37165,0.4386,0.0792,4.84,5,0
100027,Retail,13.5,Rapides,438324,0.0319,0.0194,24827.08,0.69,0,613654,1.4,0.0709,36,30,1,3,174121.55,0,0.0495,760,0,0,0,0,,,0,-0.1525,-0.1985,-0.0913,0.1566,-0.0134,35.8,0.3336,0.0164,7849,58041,0.2304,0.1525,27.21,66,0
100028,Healthcare,9.8,Orleans,762884,0.1742,0.215,20609.64,0.41,0,997052,1.307,0.051,60,0,2,6,396451.55,0,0.097,839,0,0,0,750.43,0.2194,0.0663,0,0.0309,0.0794,-0.1515,-0.0157,0.1869,63.1,0.2239,0.0155,7011,58325,0.0948,0.1885,40.26,18,0
100029,Professional Services,8.4,Jefferson,490450,-0.068,0.1987,7128.25,0.22,0,389017,0.7932,0.0391,48,0,5,3,134407.26,0,-0.0191,804,0,0,0,1452.92,0.0586,0.7213,0,0.0874,0.0219,0.0647,0.12,-0.2094,15,0.59,0.0127,7317,55793,-0.0899,-0.0288,22.1,34,0
100030,Retail,6.8,Jefferson,757877,0.1072,0.1918,23876.46,0.47,9,1278920,1.6875,0.0686,36,30,2,8,382571.11,0,0.0548,,2,0,0,0,,,0,-0.0745,0.0583,-0.2025,0.1206,0.0249,48.2,0.1686,0.0115,3805,40417,0.0489,0.0745,43.9,70,0
100031,Professional Services,4.5,Jefferson,1031686,0.318,0.0241,73619.16,0.88,0,900158,0.8725,0.0566,36,15,1,5,566865.22,0,0.2253,,0,0,0,6076.49,0.2409,0.1271,0,-0.1997,-0.0285,0.0128,0.0913,0.2523,20,0.3543,0.0114,3301,22000,0.3465,0.4406,19.71,50,0
100032,Retail,12.9,Ouachita,1092160,0.1625,0.2619,58733.21,0.87,0,335063,0.3068,0.0418,36,0,3,12,570169.58,0,0.0768,823,0,0,0,0,,,0,0.0496,0.0994,0.231,-0.0838,-0.0677,45.1,0.5834,0.0098,7393,27236,0.0631,-0.0496,23.65,0,0
100033,Retail,3.1,Caddo,456857,-0.3816,0.0077,36909.56,0.98,0,486245,1.0643,0.0645,48,15,2,10,215318.07,0,-0.4534,763,0,0,0,0,,,0,0.0002,-0.1627,-0.0411,-0.0198,0.1617,63.5,0.0922,0.0055,8168,45558,-0.2189,-0.0002,27.99,67,0
100034,Technology,9.9,Rapides,1637690,0.1522,0.2511,17298.26,0.17,0,1832598,1.119,0.035,12,0,1,6,675248.28,1,0.2141,790,0,0,0,0,,,0,-0.1011,-0.1283,-0.0045,0.264,0.0969,31.8,0.0703,0.0071,5446,66142,0.2805,0.1011,39.07,38,0
100035,Agriculture,9.3,Orleans,688170,-0.2239,0.222,36894.63,0.83,0,159911,0.2324,0.0575,24,0,3,4,197359.81,1,-0.2819,788,0,0,0,0,,,0,0.1264,0.1004,0.0395,0.1124,-0.0121,27.3,0.2549,0.0097,6559,61480,-0.3243,-0.1264,32.64,33,0
100036,Transportation,6.6,Tangipahoa,367994,-0.1735,0.1263,6950.26,0.26,0,396385,1.0772,0.0389,12,15,3,2,108342.96,1,-0.1746,738,0,0,0,0,,,0,-0.1522,0.1037,-0.2845,0.1082,-0.0832,40.7,0.4213,0.0221,2547,50463,-0.2772,0.1522,40.43,74,0
100037,Food Services,13,Caddo,181610,0.1382,0.2582,11780.59,1.05,0,292121,1.6085,0.0483,24,0,3,3,54545.32,0,0.2051,830,0,0,0,828.58,0.0075,0.1995,0,-0.1343,0.0059,-0.3843,-0.0204,-0.0676,15,0.1661,0.0097,3787,59133,0.1323,0.1418,7.26,23,0
100038,Retail,7.3,Tangipahoa,516546,-0.1833,0.0778,10885.31,0.27,11,783607,1.517,0.0668,36,30,2,4,180097.02,2,-0.1679,715,0,0,0,3892.5,0.0138,0.1871,0,0.0053,0.0419,0.0798,0.1368,-0.232,15,0.1552,0.0107,7216,52058,-0.2252,0.0085,24.78,100,1
100039,Manufacturing,6.8,Lafayette,224676,-0.2142,0.1077,24539.2,1.47,0,0,0,0.0509,0,0,0,2,68475.99,1,-0.164,742,0,0,0,0,,,0,-0.0081,0.0129,-0.085,0.0709,0.0562,15,0.0642,0.017,2473,47842,-0.2271,0.0081,16.74,43,0
100040,Construction,8.2,St. Tammany,2114794,0.0292,0.2768,149714.62,1.17,0,1181362,0.5586,0.0672,36,0,1,21,761073.02,,0.0803,847,0,0,0,3327.13,0.1467,0.3168,0,0.3836,0.0475,0.2955,-0.0736,0.208,39.9,0.0255,0.0062,2014,29624,-0.0183,-0.2369,18.95,1,0
100041,Retail,11.2,Lafayette,606099,-0.105,0.3032,31042,0.88,0,933258,1.5398,0.035,24,0,2,4,216742.83,1,-0.0154,789,0,0,0,0,,,0,-0.1119,-0.0946,-0.0864,0.077,-0.073,36.6,0.1254,0.0148,2041,22000,-0.0104,0.1119,24.93,49,0
100042,Healthcare,0.6,East Baton Rouge,567741,-0.3285,-0.0028,20915.38,0.44,0,593601,1.0455,0.0922,60,0,1,8,169622.76,1,-0.2171,784,0,0,0,2738.69,-0.3271,0.4952,0,-0.0317,-0.0166,-0.2228,0.078,-0.0763,43.4,0.2137,0.0052,2743,46232,-0.3119,-0.2954,33.01,84,1
100043,Retail,19.4,Caddo,314705,0.1522,0.2283,23888.43,1.18,7,0,0,0.035,0,0,0,2,141853.58,0,0.2457,,1,0,0,2676.01,0.1829,0.1284,0,0.3029,0.038,0.2889,0.1257,0.129,46.1,0.1008,0.0102,7540,31126,0.1142,-0.12,42.13,7,0
100044,Technology,10.3,Tangipahoa,1657042,0.2468,0.143,159451.64,1.35,0,0,0,0.0804,0,0,0,6,677737.73,0,0.1876,792,0,0,0,10295.75,0.1983,0.5118,0,0.23,0.1938,0.1483,0.0716,0.1433,72,0.435,0.0172,7105,67188,0.053,-0.0317,60.05,5,0
100045,Food Services,7.4,Calcasieu,1811768,0.229,0.1696,76875.09,0.61,0,990517,0.5467,0.0416,12,0,3,11,898541.23,0,0.3982,752,1,0,0,14351.47,0.2495,0.5955,0,0.2661,-0.1415,-0.27,0.2844,0.0768,48.9,0.3305,0.0201,2494,35414,0.3705,-0.0166,50.7,35,0
100046,Professional Services,0.8,Orleans,385140,-0.1676,0.0859,24760.73,0.84,0,0,0,0.0831,0,0,0,2,156076.73,0,-0.2754,772,1,0,0,0,,,0,-0.0854,-0.0232,0.0883,0.2035,-0.0571,46.7,0.0609,0.0082,3341,81070,-0.1444,0.0854,47.21,31,0
100047,Food Services,14.8,Ouachita,1914251,0.1204,0.3543,54323.78,0.53,0,0,0,0.035,0,0,0,13,832685.92,0,0.0629,850,0,0,0,8224.83,0.0512,0.3021,0,0.0203,0.2084,-0.2893,0.0956,0.0236,21.6,0.1316,0.0157,2786,22000,-0.088,0.0309,32.94,0,0
100048,Healthcare,4.5,Rapides,1266071,-0.0787,0.2731,,0.66,0,365954,0.289,0.0426,48,0,1,28,432166.57,0,-0.0757,768,0,0,0,5468.88,-0.1391,0.0988,0,-0.0484,0.0904,-0.4034,-0.1212,0.2623,52.9,0.2269,0.0217,2994,46735,-0.1691,-0.0907,24.14,12,0
100049,Healthcare,2.2,Orleans,327792,-0.2488,0.2743,16164.6,0.82,0,177510,0.5415,0.0523,24,90,4,3,113576.18,,-0.2894,591,0,0,1,971.79,-0.2168,0.1633,0,0.1553,0.0005,0.1436,0.0777,0.0669,53.9,0.2192,0.0188,2306,33181,-0.2493,-0.3721,40.14,100,1
100050,Retail,10.2,Rapides,681174,-0.1344,0.3863,45479.21,1.31,0,945718,1.3884,0.0392,36,0,1,8,282583.61,0,-0.0888,850,0,0,0,5479.34,-0.1301,0.2808,0,0.1242,-0.0905,-0.1379,-0.1469,-0.032,46.3,0.3071,0.0062,6076,71005,-0.0439,-0.2543,8.56,13,0
100051,Agriculture,3.5,Calcasieu,668706,-0.5903,-0.0172,28339.45,0.5,0,1060060,1.5852,0.052,24,15,2,4,222277.93,0,-0.4346,,0,0,0,2131.36,-0.6,0.1536,0,-0.0466,-0.1045,0.1237,-0.1406,-0.1295,46.5,0.1786,0.0219,4538,56441,-0.4858,-0.5534,8.61,94,1
100052,Transportation,12.3,Orleans,161294,-0.2026,0.196,6655.14,0.62,0,103713,0.643,0.0553,48,15,2,2,85931.33,1,-0.0206,761,0,0,0,1008.88,-0.1639,0.6806,0,0.0827,0.0804,0.2593,0.0114,0.0101,53.5,0.1372,0.0095,8438,59468,-0.283,-0.2466,37.26,64,0
100053,Technology,1.4,St. Tammany,671756,-0.2927,0.0416,23774.23,0.44,0,370757,0.5519,0.0679,48,0,1,4,201607.12,0,-0.3209,685,0,0,0,0,,,0,0.0373,-0.0242,0.1421,0.2737,0.1394,40,0.1964,0.014,4099,48988,-0.2685,-0.0373,50.16,60,0
100054,Real Estate,5.9,East Baton Rouge,382413,0.0746,0.0682,7840.76,0.26,8,229085,0.5991,0.0673,36,0,1,5,113716.04,1,0.1312,728,1,0,0,0,,,0,0.0636,0.046,-0.3316,0.134,0.0188,84.9,0.3837,0.0101,3249,84562,0.0286,-0.0636,66.64,74,0
100055,Professional Services,7.4,Jefferson,304899,0.0941,0.2908,7593.26,0.42,0,0,0,0.035,0,0,0,2,161392.95,2,-0.0483,760,0,0,0,2472.65,0.0828,0.4286,0,0.043,-0.2376,-0.1196,-0.0749,0.0277,68.6,0.1484,0.007,5204,32794,0.3317,0.0398,21.79,41,0
100056,Technology,6.4,Calcasieu,748768,-0.3417,0.1919,41949.33,0.83,0,504608,0.6739,0.0698,24,0,3,3,226662.83,1,-0.2926,814,0,0,0,0,,,0,0.1436,-0.111,0.0952,0.0551,0.0774,69.8,0.1156,0.0154,4318,33869,-0.2307,-0.1436,41.84,44,0
100057,Retail,3.4,East Baton Rouge,565446,0.2122,-0.019,15557.02,0.32,0,212004,0.3749,0.0729,36,0,1,3,,0,0.326,802,1,0,0,4533.89,0.2827,0.3876,0,0.1596,-0.1153,-0.0218,-0.1189,-0.1143,27,0.1274,0.0209,5101,78177,0.3275,0.1231,-1.46,37,0
100058,Retail,6.4,Orleans,648934,-0.1037,0.3874,52767.58,1.59,0,861048,1.3269,0.035,48,0,2,4,,0,0.0088,,0,0,0,0,,,0,0.0481,0.0013,0.0427,-0.0229,0.1167,27.6,0.3689,0.0076,3379,46865,-0.105,-0.0481,14.34,8,0
100059,Retail,1,Tangipahoa,1321821,-0.2053,-0.0634,170987.12,1.46,12,2031896,1.5372,0.0869,24,15,1,8,,0,-0.1957,727,2,0,0,3206.39,-0.156,0.2173,0,0.1848,-0.1724,-0.2328,0.1082,0.0168,31.1,0.1369,0.0178,2340,54253,-0.0329,-0.3408,20.86,100,1
100060,Food Services,7.4,East Baton Rouge,606036,-0.3639,0.1321,29625.84,0.68,0,644920,1.0642,0.0709,60,30,4,2,191385.1,0,-0.4267,,2,0,0,2607.88,-0.2757,0.324,0,0.264,-0.0648,-0.2524,0.0356,0.0566,44.4,0.1622,0.0057,6448,43780,-0.2991,-0.5397,26.96,90,1
100061,Construction,4.6,Ouachita,468055,-0.1462,0.1439,43955.37,1.32,0,0,0,0.044,0,0,0,2,205518.24,,-0.0663,774,0,0,0,1185.84,-0.0288,0.3414,0,0.0166,0.1302,-0.0972,0.0405,-0.0218,76.7,0.262,0.0209,4834,31806,-0.2764,-0.0454,56.58,20,0
100062,Food Services,9,East Baton Rouge,2286114,-0.0006,0.0782,110055.76,0.63,0,2970720,1.2995,0.0584,60,30,3,16,972783.29,0,-0.1237,760,0,0,0,0,,,0,-0.0549,0.0057,-0.4188,0.0885,-0.1192,52.4,0.0913,0.0051,8119,47622,-0.0063,0.0549,40.57,59,0
100063,Transportation,7.6,Lafayette,177181,0.2491,0.2155,,1.53,0,101688,0.5739,0.0583,48,0,1,1,76119.49,0,0.1049,750,0,0,0,0,,,0,0.0011,-0.0174,-0.3236,0.0911,0.2712,74.8,0.1471,0.0185,7512,43138,0.2665,-0.0011,53.12,11,0
100064,Construction,1.6,St. Tammany,611419,0.0068,0.0504,28060.28,0.58,0,0,0,0.0921,0,0,0,4,332048.94,0,-0.1859,,0,0,0,0,,,0,-0.0881,-0.1624,-0.0273,-0.0571,-0.1018,29.8,0.2895,0.0216,5117,74531,0.1692,0.0881,4.05,38,0
100065,Food Services,5.1,Calcasieu,631465,-0.0393,0.2151,9151,0.22,0,723528,1.1458,0.0466,12,30,2,3,293208.85,0,-0.0011,730,0,0,0,0,,,0,0.1402,0.2445,0.0342,-0.0099,0.0227,20.4,0.0139,0.0212,5748,42120,-0.2838,-0.1402,23.48,52,0
100066,Healthcare,2.3,Jefferson,7615775,0.1577,0.1489,189481.12,0.35,0,5902181,0.775,0.059,12,30,2,49,3343356.39,1,0.2931,673,0,0,0,0,,,0,0.1917,0.1621,-0.1386,0.1478,0.0985,52.5,0.0679,0.0087,5076,53716,-0.0044,-0.1917,54.39,71,0
100067,Retail,6.5,Orleans,633079,0.0608,-0.0704,37537.32,0.66,0,464100,0.7331,0.0949,48,60,1,5,296677.64,1,-0.0137,651,1,0,0,0,,,0,-0.4721,-0.0155,-0.3311,-0.0683,-0.0097,85,0.1733,0.0161,4323,49177,0.0763,0.4721,43.4,100,1
100068,Transportation,4.6,Calcasieu,185485,-0.3011,-0.0035,3996.91,0.26,7,46231,0.2492,0.0524,48,15,5,1,83557.53,0,-0.2736,798,2,0,0,541.36,-0.234,0.1797,0,0.1706,0.1356,0.2576,-0.0829,-0.1402,30.1,0.2088,0.0203,3442,48975,-0.4367,-0.4046,16.55,70,0
100069,Retail,9.7,Caddo,111700,-0.0661,0.2634,6160.98,0.9,0,152638,1.3665,0.035,36,30,1,1,29262.41,1,-0.1181,836,0,0,0,0,,,0,0.1521,-0.0031,-0.2059,0.1036,-0.0052,81,0.1186,0.008,6877,27530,-0.063,-0.1521,58.8,50,0
100070,Agriculture,6.8,Calcasieu,112599,-0.0965,0.1944,1880.76,0.25,0,156473,1.3896,0.0398,60,60,2,1,47975.07,1,-0.0383,731,1,0,0,300.1,0.0281,0.1959,0,0.2214,-0.1351,0.1708,0.0305,-0.0848,71.7,0.1935,0.0247,2071,79275,0.0386,-0.1933,39.32,100,1
100071,Transportation,4.6,Ouachita,322995,-0.003,0.0437,9988.13,0.39,7,119040,0.3686,0.045,60,0,5,1,116664.02,1,-0.0218,692,1,0,0,2168.76,0.0055,0.4172,45,-0.0189,0.0281,0.1082,-0.1098,-0.0764,63.7,0.275,0.0145,6559,45943,-0.0311,0.0244,28.65,85,1
100072,Retail,6.6,Calcasieu,714999,-0.0746,0.0958,17859.38,0.33,0,1138968,1.593,0.0364,24,0,1,6,,0,-0.1603,744,0,0,0,0,,,0,-0.0292,0.1401,-0.1274,0.1108,0.1797,73.9,0.2327,0.013,5513,59627,-0.2147,0.0292,62.42,60,0
100073,Retail,3.8,Caddo,134613,-0.1474,0.1201,,0.55,0,213877,1.5888,0.0419,36,30,3,1,49173.8,2,-0.267,648,0,0,0,0,,,0,0.3169,0.0027,-0.0255,0.0664,0.1062,22.8,0.0013,0.0161,4707,73403,-0.1501,-0.3169,20.46,100,1
100074,Transportation,8,East Baton Rouge,386448,0.3523,-0.0123,40341.56,1.24,0,688320,1.7811,0.0802,36,0,1,4,122281.13,0,0.3967,738,0,0,0,2664.64,0.2059,0.0593,0,0.1784,0.0398,-0.1859,0.0263,0.1352,26,0.1186,0.0069,8797,54563,0.3125,0.0275,20.22,58,0
100075,Manufacturing,6.8,Lafayette,425635,0.0201,0.3624,53240.68,2.35,0,0,0,0.0458,0,0,0,3,208511.01,0,-0.0052,814,0,0,0,2516.16,0.0442,0.1782,0,0.2466,-0.1626,-0.2611,-0.0255,0.0835,26,0.1249,0.0214,7445,40791,0.1827,-0.2024,4.92,0,0
100076,Manufacturing,0.6,East Baton Rouge,592515,0.1349,0.0078,37008.26,0.76,0,626254,1.0569,0.1103,48,0,1,5,183461.68,,0.1335,685,0,0,0,3219.93,0.0109,0.4909,0,0.012,0.0246,0.0182,0.2165,0.0941,27.3,0.0416,0.0051,5452,53708,0.1103,-0.0011,39.26,66,0
100077,Transportation,24.3,East Baton Rouge,547470,0.0042,0.3358,36736.45,1.21,0,209272,0.3823,0.0398,60,0,1,3,141764.8,0,-0.0403,850,0,0,0,2775.36,-0.1095,0.5867,0,0.3808,0.0883,-0.1823,0.1823,-0.0395,33.5,0.276,0.02,8854,47559,-0.0841,-0.4903,42.74,0,0
100078,Retail,5.8,Caddo,238356,0.2093,0.2984,13347.76,0.96,0,0,0,0.035,0,0,0,1,107782.23,0,0.1857,,0,0,0,316.7,0.2439,0.0695,0,0.3811,-0.0431,-0.2868,0.2023,-0.0098,33.1,0.5778,0.0215,5262,53287,0.2524,-0.1372,37.94,0,0
100079,Construction,4.2,Rapides,2588427,0.01,0.1154,141447.22,0.74,0,2283040,0.882,0.0645,84,0,3,58,1195194.45,0,-0.0261,747,0,0,0,0,,,0,-0.0065,-0.0488,-0.021,-0.1023,0.1568,70.4,0.1023,0.0102,8780,31934,0.0588,0.0065,29.57,38,0
100080,Retail,5.6,Jefferson,273835,0.2439,0.175,36694.38,1.95,0,419267,1.5311,0.035,12,0,2,2,125398.28,0,0.2607,,0,0,0,0,,,0,-0.0127,-0.1733,0.1754,-0.0991,0.2204,15,0.277,0.0112,4191,51624,0.4172,0.0127,-9.58,29,0
100081,Real Estate,9.1,Caddo,1412256,-0.6015,0.0949,43216.16,0.41,8,0,0,0.035,0,0,0,15,401014.03,1,-0.5,744,0,0,0,0,,,0,0.0641,0.1539,-0.026,0.2958,0.0587,64.6,0.1491,0.024,5276,47930,-0.7554,-0.0641,76.04,71,0
